Timestamp,Elapsed Time (s),Temperature (°C),Pressure (hPa),Temp Change,Press Change
2025-04-18 15:10:19,0,30.69,1002.83,0,0
2025-04-18 15:10:25,1,30.69,1002.85,0.0,0.01999999999998181
2025-04-18 15:10:30,2,25.0,1002.84,-5.690000000000001,-0.009999999999990905
2025-04-18 15:10:36,3,30.69,1002.77,5.690000000000001,-0.07000000000005002
2025-04-18 15:10:41,4,30.69,1002.82,0.0,0.05000000000006821
2025-04-18 15:10:47,5,30.69,1002.8,0.0,-0.020000000000095497
2025-04-18 15:10:52,6,30.75,1002.83,0.05999999999999872,0.030000000000086402
2025-04-18 15:10:58,7,30.69,1002.82,-0.05999999999999872,-0.009999999999990905
2025-04-18 15:11:03,8,30.69,1002.82,0.0,0.0
2025-04-18 15:11:09,9,30.69,1002.84,0.0,0.01999999999998181
2025-04-18 15:11:14,10,30.69,1002.82,0.0,-0.01999999999998181
2025-04-18 15:11:20,11,30.69,1002.83,0.0,0.009999999999990905
2025-04-18 15:11:25,12,30.69,1002.84,0.0,0.009999999999990905
2025-04-18 15:11:31,13,30.69,1002.81,0.0,-0.030000000000086402
2025-04-18 15:11:36,14,30.69,1002.81,0.0,0.0
2025-04-18 15:11:42,15,30.69,1002.78,0.0,-0.029999999999972715
2025-04-18 15:11:47,16,30.69,1002.77,0.0,-0.009999999999990905
2025-04-18 15:11:53,17,30.69,1002.76,0.0,-0.009999999999990905
2025-04-18 15:11:58,18,30.69,1002.71,0.0,-0.049999999999954525
2025-04-18 15:12:04,19,30.69,1002.78,0.0,0.06999999999993634
2025-04-18 15:12:10,20,30.75,1002.77,0.05999999999999872,-0.009999999999990905
2025-04-18 15:12:15,21,30.69,1002.75,-0.05999999999999872,-0.01999999999998181
2025-04-18 15:12:21,22,30.75,1002.77,0.05999999999999872,0.01999999999998181
2025-04-18 15:12:26,23,30.69,1002.82,-0.05999999999999872,0.05000000000006821
2025-04-18 15:12:31,24,25.0,1002.85,-5.690000000000001,0.029999999999972715
